Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name,,,,,,
M1,Nebula,5.575,22.01667,8.4,6,NGC1952,Taurus,Supernova Remnant,Crab Nebula,,,,,,
M2,Globular Cluster,21.55833,-0.81667,6.5,12.9,NGC7089,Aquarius,Globular Cluster,,,,,,,
M3,Globular Cluster,13.70333,28.38333,6.4,16.2,NGC5272,Canes Venaciti,Globular Cluster,,,,,,,
M4,Globular Cluster,16.39333,-26.53333,5.9,26.3,NGC6121,Scorpius,Globular Cluster,,,,,,,
M5,Globular Cluster,15.31,2.08333,5.8,17.4,NGC5904,Serpens,Globular Cluster,,,,,,,
M6,Open Cluster,17.66833,-32.21667,4.2,15,NGC6405,Scorpius,Open Cluster,Butterfly Cluster,,,,,,
M7,Open Cluster,17.89833,-34.81667,3.3,80,NGC6475,Scorpius,Open Cluster,Ptolemy Cluster,,,,,,
M8,Nebula,18.06333,-24.38333,5.8,90,NGC6523,Sagittarius,Diffuse Nebula,Lagoon Nebula,,,,,,
M9,Globular Cluster,17.32,-18.51667,7.9,9.3,NGC6333,Ophiuchus,Globular Cluster,,,,,,,
M10,Globular Cluster,16.95167,-4.1,6.6,15.1,NGC6254,Ophiuchus,Globular Cluster,,,,,,,
M11,Open Cluster,18.85167,-6.26667,5.8,14,NGC6705,Scutum,Open Cluster,Wild Duck Cluster,,,,,,
M12,Globular Cluster,16.78667,-1.95,6.6,14.5,NGC6218,Ophiuchus,Globular Cluster,,,,,,,
M13,Globular Cluster,16.695,36.46667,5.9,16.6,NGC6205,Hercules,Globular Cluster,Hercules Globular Cluster,,,,,,
M14,Globular Cluster,17.62667,-3.25,7.6,11.7,NGC6402,Ophiuchus,Globular Cluster,,,,,,,
M15,Globular Cluster,21.5,12.16667,6.4,12.3,NGC7078,Pegasus,Globular Cluster,,,,,,,
M16,Open Cluster,18.31333,-13.78333,6,35,NGC6611,Serpens,Open Cluster,Eagle Nebula,,,,,,
M17,Open Cluster,18.34667,-16.18333,6,46,NGC6618,Sagittarius,Diffuse Nebula,Lobster Nebula,,,,,,
M18,Open Cluster,18.33167,-17.13333,6.9,9,NGC6613,Sagittarius,Open Cluster,,,,,,,
M19,Globular Cluster,17.04333,-26.26667,7.2,13.5,NGC6273,Ophiuchus,Globular Cluster,,,,,,,
M20,Open Cluster,18.03833,-23.03333,6.3,29,NGC6514,Sagittarius,Diffuse Nebula,Trifid Nebula,,,,,,
M21,Open Cluster,18.07667,-22.5,5.9,13,NGC6531,Sagittarius,Open Cluster,,,,,,,
M22,Globular Cluster,18.60667,-23.9,5.1,24,NGC6656,Sagittarius,Globular Cluster,Sagittarius Cluster,,,,,,
M23,Open Cluster,17.94667,-19.01667,5.5,27,NGC6494,Sagittarius,Open Cluster,,,,,,,
M24,Open Cluster,18.30667,-18.41667,11,5,NGC6603,Sagittarius,Milky Way Patch,Sagittarius Star Cloud,,,,,,
M25,Open Cluster,18.52667,-19.25,0,0,NGC0000,Sagittarius,Open Cluster,,,,,,,
M26,Open Cluster,18.75333,-9.4,8,15,NGC6694,Scutum,Open Cluster,,,,,,,
M27,Nebula,19.99333,22.71667,8.1,15.2,NGC6853,Vulpecula,Planetary Nebula,Dumbbell Nebula,,,,,,
M28,Globular Cluster,18.40833,-24.86667,6.9,11.2,NGC6626,Sagittarius,Globular Cluster,,,,,,,
M29,Open Cluster,20.39833,38.53333,6.6,7,NGC6913,Cygnus,Open Cluster,,,,,,,
M30,Globular Cluster,21.67333,-23.18333,7.5,11,NGC7099,Capricornus,Globular Cluster,,,,,,,
M31,Galaxy,0.71167,41.26667,3.5,178,NGC224,Andromeda,Spiral Galaxy,Andromeda Galaxy,,,,,,
M32,Galaxy,0.71167,40.86667,8.2,7.6,NGC221,Andromeda,Elliptical Galaxy,,,,,,,
M33,Galaxy,1.565,30.65,5.7,62,NGC598,Triangulum,Spiral Galaxy,Triangulum Galaxy,,,,,,
M34,Open Cluster,2.7,42.78333,5.2,35,NGC1039,Perseus,Open Cluster,,,,,,,
M35,Open Cluster,6.14833,24.33333,5.1,28,NGC2168,Gemini,Open Cluster,,,,,,,
M36,Open Cluster,5.60167,34.13333,6,12,NGC1960,Auriga,Open Cluster,,,,,,,
M37,Open Cluster,5.87333,32.55,5.6,24,NGC2099,Auriga,Open Cluster,,,,,,,
M38,Open Cluster,5.47833,35.83333,6.4,21,NGC1912,Auriga,Open Cluster,,,,,,,
M39,Open Cluster,21.53667,48.43333,4.6,32,NGC7092,Cygnus,Open Cluster,,,,,,,
M40,Open Cluster,12.37333,58.08333,0,0,NGC0000,Ursa Major,Binary Star,Winnecke 4,,,,,,
M41,Open Cluster,6.76667,-20.73333,4.5,38,NGC2287,Canis Major,Open Cluster,,,,,,,
M42,Nebula,5.59,-5.45,4,66,NGC1976,Orion,Diffuse Nebula,Orion Nebula,,,,,,
M43,Nebula,5.59333,-5.26667,9,20,NGC1982,Orion,Diffuse Nebula,De Mairan's Nebula,,,,,,
M44,Open Cluster,8.66833,19.98333,3.1,95,NGC2632,Cancer,Open Cluster,Beehive Cluster,,,,,,
M45,Open Cluster,3.783333,24.11667,0,0,NGC0000,Taurus,Open Cluster,Pleiades,,,,,,
M46,Open Cluster,7.69667,-14.81667,6.1,27,NGC2437,Puppis,Open Cluster,,,,,,,
M47,Open Cluster,7.61,-14.5,4.4,30,NGC2422,Puppis,Open Cluster,,,,,,,
M48,Open Cluster,8.23,-5.8,5.8,54,NGC2548,Hydra,Open Cluster,,,,,,,
M49,Galaxy,12.49667,8,8.4,8.9,NGC4472,Virgo,Elliptical Galaxy,,,,,,,
M50,Open Cluster,7.05333,-8.33333,5.9,16,NGC2323,Monoceros,Open Cluster,,,,,,,
M51,Galaxy,13.49833,47.2,8.4,11,NGC5194,Canes Venaciti,Spiral Galaxy,Whirlpool Galaxy,,,,,,
M52,Open Cluster,23.40333,61.58333,6.9,13,NGC7654,Cassiopeia,Open Cluster,,,,,,,
M53,Globular Cluster,13.215,18.16667,7.7,12.6,NGC5024,Coma Berenices,Globular Cluster,,,,,,,
M54,Globular Cluster,18.91833,-30.48333,7.7,9.1,NGC6715,Sagittarius,Globular Cluster,,,,,,,
M55,Globular Cluster,19.66667,-30.96667,7,19,NGC6809,Sagittarius,Globular Cluster,,,,,,,
M56,Globular Cluster,19.27667,30.18333,8.3,7.1,NGC6779,Lyra,Globular Cluster,,,,,,,
M57,Nebula,18.89333,33.03333,9,2.5,NGC6720,Lyra,Planetary Nebula,Ring Nebula,,,,,,
M58,Galaxy,12.62833,11.81667,9.8,5.4,NGC4579,Virgo,Spiral Galaxy,,,,,,,
M59,Galaxy,12.7,11.65,9.8,5.1,NGC4621,Virgo,Elliptical Galaxy,,,,,,,
M60,Galaxy,12.72833,11.55,8.8,7.2,NGC4649,Virgo,Elliptical Galaxy,,,,,,,
M61,Galaxy,12.365,4.46667,9.7,6,NGC4303,Virgo,Spiral Galaxy,,,,,,,
M62,Globular Cluster,17.02,-30.11667,6.6,14.1,NGC6266,Ophiuchus,Globular Cluster,,,,,,,
M63,Galaxy,13.26333,42.03333,8.6,12.3,NGC5055,Canes Venaciti,Spiral Galaxy,Sunflower Galaxy,,,,,,
M64,Galaxy,12.945,21.68333,8.5,9.3,NGC4826,Coma Berenices,Spiral Galaxy,Black Eye Galaxy,,,,,,
M65,Galaxy,11.315,13.08333,9.3,10,NGC3623,Leo,Spiral Galaxy,Leo Triplet,,,,,,
M66,Galaxy,11.33667,12.98333,9,8.7,NGC3627,Leo,Spiral Galaxy,Leo Triplet,,,,,,
M67,Open Cluster,8.84,11.81667,6.9,30,NGC2682,Cancer,Open Cluster,,,,,,,
